License Plate,Ocurrencias
86l5KJJ,1
8645 KJJ,365
8645KJJ,11
02C2LiC,1
78645 KJJ,9
8242 LTC,2
18645 KJJ,35
8242 LIC,6
8242 LYC,2
8242LYC,1
8222 LIC,1
186SKJJ,1
8645 KJI,1
CC620J0I,1
78605 KJJ,1
8605 KJJ,8
CC6ao98I,1
8665 KJJ,11
0645 KJJ,2
1716LLL,1
716LLoD,1
716LLDD,1
48645 KJJ,2
9569 LKA,1
18645 KJL,1
18665 KJJ,1
8665KJJ,1
8645 K JJ,1
864SKJJ,2
5831 KXT,9
583 UKXT,1
583KXT,1
583UKKT,1
735XSY,1
5325 KSY,1
732SKS,1
7325 KSY,2
73EKS7,1
7345YSY,1
8625 KJJ,1
2569 JTI,2
2E62JI,1
2569 JII,3
42569 JTI,2
2569 JID,2
12569 JIL,1
42569 JTE,1
2569 JIL,2
72569 JIC,1
82569 JII,1
42569 JII,1
42569 JID,1
12569 JTL,1
12569 JTD,1
12569 JIE,1
12569 JTI,1
